race_id,date,region,course,course_id,off,off_dt,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_y,dist_m,dist_f,going,surface,jumps,winning_time_detail,comments,non_runners,tote_win,tote_pl,tote_ex,tote_csf,tote_tricast,tote_trifecta,horse_id,horse,sp,sp_dec,number,position,draw,btn,ovr_btn,age,sex,weight,weight_lbs,headgear,time,or,rpr,tsr,prize,jockey,jockey_claim_lbs,jockey_id,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id,damsire,damsire_id,comment,silk_url
rac_6469060,2010-01-12,GB,Lingfield (AW),crs_10218,3:35,2010-01-12T15:35:00+00:00,Marsh Green Handicap,Flat,Class 4,,0-85,3yo,,7f,1541,1409.0,7f,Standard,AW,,1m 25.09s (slow by 3.09s),,,£5.90,£1.30 £1.40,£13,£9.97,,,hrs_5236063,Capricornus (USA),5/4F,2.25,3.0,2,3.0,1.25,1.25,3,C,9-4,130,,1:25.30,71,74,52,1348.90,Neil Callan,0,jky_41097,Mark Johnston,trn_30402,Sheikh Hamdan Bin Mohammed Al Maktoum,own_237888,Rahy (USA),sir_97321,Silent Partner (USA),dam_5236049,Capote,dsi_2131577,In touch - shaken up over 2f out - ridden and went between horses just inside final furlong - chased winner final 100yds - no impression after(op 15-8),https://www.rp-assets.com/svg/h/2/7/59472h.svg
rac_6469060,2010-01-12,GB,Lingfield (AW),crs_10218,3:35,2010-01-12T15:35:00+00:00,Marsh Green Handicap,Flat,Class 4,,0-85,3yo,,7f,1541,1409.0,7f,Standard,AW,,1m 25.09s (slow by 3.09s),,,£5.90,£1.30 £1.40,£13,£9.97,,,hrs_5194070,Fazza (GB),3/1,4.0,5.0,3,4.0,0.3,1.5,3,G,9-3,129,,1:25.34,70,72,50,674.10,David Probert,0,jky_258039,David Arbuthnot,trn_6120,Nursery End Syndicate,own_708516,Sulamani (IRE),sir_3892441,Markievicz I (IRE),dam_545503,Doyoun,dsi_71680,Took keen hold - held up in touch - ridden entering final 2f - headway under pressure inside final furlong - ran on to go 3rd well inside final furlong - not reach leaders(tchd 5-2 and 10-3),https://www.rp-assets.com/svg/9/2/1/177129.svg
rac_6469060,2010-01-12,GB,Lingfield (AW),crs_10218,3:35,2010-01-12T15:35:00+00:00,Marsh Green Handicap,Flat,Class 4,,0-85,3yo,,7f,1541,1409.0,7f,Standard,AW,,1m 25.09s (slow by 3.09s),,,£5.90,£1.30 £1.40,£13,£9.97,,,hrs_5193755,Exceedthewildman (GB),10/1,11.0,1.0,4,1.0,1.25,2.75,3,C,9-7,133,p,1:25.55,74,73,51,336.70,Luke Morris,0,jky_254571,J S Moore,trn_46089,E Moore J S Moore,own_671040,Exceed And Excel (AUS),sir_4045216,Naomi Wildman (USA),dam_4067273,Kingmambo,dsi_553315,Slowly into stride - behind - reminder 5f out - ridden and effort on inner over 1f out - not clear run and hampered inside final furlong - switched right and ran on final 100yds - never able to challenge(op 12-1),https://www.rp-assets.com/svg/0/6/7/167760.svg
rac_6469060,2010-01-12,GB,Lingfield (AW),crs_10218,3:35,2010-01-12T15:35:00+00:00,Marsh Green Handicap,Flat,Class 4,,0-85,3yo,,7f,1541,1409.0,7f,Standard,AW,,1m 25.09s (slow by 3.09s),,,£5.90,£1.30 £1.40,£13,£9.97,,,hrs_5102482,Kirsty's Boy (IRE),25/1,26.0,2.0,5,2.0,.5,3.25,3,G,9-7,133,,1:25.63,74,71,50,,Liam Keniry,0,jky_234756,J S Moore,trn_46089,F J Stephens,own_693128,Tagula (IRE),sir_727524,Mayfair (GB),dam_3147151,Green Desert,dsi_2126159,Led until over 5f out - ridden and closed on leader over 2f out - every chance and driven over 1f out - weakened inside final furlong(op 14-1),https://www.rp-assets.com/svg/2/8/2/173282.svg
rac_6469060,2010-01-12,GB,Lingfield (AW),crs_10218,3:35,2010-01-12T15:35:00+00:00,Marsh Green Handicap,Flat,Class 4,,0-85,3yo,,7f,1541,1409.0,7f,Standard,AW,,1m 25.09s (slow by 3.09s),,,£5.90,£1.30 £1.40,£13,£9.97,,,hrs_5138826,Gold Party (GB),6/1,7.0,6.0,6,5.0,1.5,4.75,3,C,9-2,128,etb,1:25.88,69,62,41,,Jamie Spencer,0,jky_41067,Kevin McAuliffe,trn_73521,K W J Mcauliffe,own_226664,Bahamian Bounty (GB),sir_3136021,West River (USA),dam_3146584,Gone West,dsi_2129603,Awkward leaving stalls and slowly into stride - dashed up to lead over 5f out - soon clear - ridden 2f out - headed and edged left entering final furlong - weakened just inside final furlong - last and eased towards finish(op 10-1),https://www.rp-assets.com/svg/6/6/6/56666.svg
rac_6469047,2010-01-12,GB,Lingfield (AW),crs_10218,3:05,2010-01-12T15:05:00+00:00,Ashurst Wood Handicap,Flat,Class 6,,0-58,4yo+,,7f,1541,1409.0,7f,Standard,AW,,1m 24.32s (slow by 2.32s),,"Cavalry Guard (self certificate), Greystoke Prince (self certificate), Headache (travel problems)",£4.60,£1.90 £3.20 £6.90,£76,£60.69,£1004.54,,hrs_4478901,Art Market (CAN),4/1F,5.0,5.0,1,13.0,0,0,7,G,9-3,129,p,1:24.32,57,72,53,2047.20,Jamie Spencer,0,jky_41067,Jo Crowley,trn_176670,Exors Of The Late Mrs Liz Nelson,own_214328,Giant's Causeway (USA),sir_3591329,Fantasy Lake (USA),dam_4478887,Salt Lake,dsi_562289,Soon led and crossed over to rail - steadied gallop over 3f out - ridden and quickened clear well over 1f out - in no danger after - eased towards finish(op 9-2),https://www.rp-assets.com/svg/b/2/8/53582b.svg
rac_6469047,2010-01-12,GB,Lingfield (AW),crs_10218,3:05,2010-01-12T15:05:00+00:00,Ashurst Wood Handicap,Flat,Class 6,,0-58,4yo+,,7f,1541,1409.0,7f,Standard,AW,,1m 24.32s (slow by 2.32s),,"Cavalry Guard (self certificate), Greystoke Prince (self certificate), Headache (travel problems)",£4.60,£1.90 £3.20 £6.90,£76,£60.69,£1004.54,,hrs_4988081,Dicey Affair (GB),14/1,15.0,14.0,2,9.0,6,6,4,F,8-7,119,t,1:25.32,47,46,27,604.50,Liam Keniry,0,jky_234756,Gary Moore,trn_70497,Heart Of The South Racing,own_447464,Medicean (GB),sir_3697442,Lucky Dice (GB),dam_4988060,Perugino,dsi_590611,Held up towards rear - headway entering final 2f - switched right and driven 1f out - stayed on under pressure to go 2nd towards finish - no chance with winner(op 10-1),https://www.rp-assets.com/svg/6/6/8/111866.svg
rac_6455241,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:40,2010-01-14T17:40:00+00:00,Bet Masters Snooker - Betdaq Conditions Stakes,Flat,Class 2,,,4yo+,,1m½f,1901,1738.0,8.5f,Standard,AW,,1m 50.55s (slow by 4.55s),,,£4.70,£2.10 £1.90,£19.60,£23.92,,,hrs_4985757,Splinter Cell (USA),100/30,4.33,6.0,2,5.0,3.25,3.25,4,C,8-13,125,,1:51.09,94,92,51,3172.20,Andrea Atzeni,0,jky_262047,Marco Botti,trn_81027,Op   Center,own_685724,Johannesburg (USA),sir_3833298,Rock Salt (GB),dam_4233649,Selkirk,dsi_435050,Held up in rear - came wide straight - ridden and headway over 1f out - hung left final furlong - took 2nd towards finish - no chance with winner(op 11-4 tchd 7-2),https://www.rp-assets.com/svg/1/3/4/171431.svg
rac_6455241,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:40,2010-01-14T17:40:00+00:00,Bet Masters Snooker - Betdaq Conditions Stakes,Flat,Class 2,,,4yo+,,1m½f,1901,1738.0,8.5f,Standard,AW,,1m 50.55s (slow by 4.55s),,,£4.70,£2.10 £1.90,£19.60,£23.92,,,hrs_5059005,Balcarce Nov (ARG),7/4F,2.75,3.0,3,4.0,.5,3.75,4,C,9-0,126,,1:51.17,105,91,50,1586.10,Jamie Spencer,0,jky_41067,Tom Tate,trn_4491,Mrs Fitri Hay,own_448960,Romanov (IRE),sir_764631,Rosada Fitz (ARG),dam_5059012,Fitzcarraldo,dsi_3687068,Held up and behind - headway well over 1f out - ridden and one pace inside final furlong(op 11-4),https://www.rp-assets.com/svg/0/4/2/112240.svg
rac_6455241,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:40,2010-01-14T17:40:00+00:00,Bet Masters Snooker - Betdaq Conditions Stakes,Flat,Class 2,,,4yo+,,1m½f,1901,1738.0,8.5f,Standard,AW,,1m 50.55s (slow by 4.55s),,,£4.70,£2.10 £1.90,£19.60,£23.92,,,hrs_5108138,Reve De Nuit (USA),4/1,5.0,1.0,4,6.0,1.25,5,4,C,9-4,130,,1:51.38,95,93,52,793.90,Declan Cannon,0,jky_250590,Alan McCabe,trn_167598,Jaber Ali Alsabah,own_518560,Giant's Causeway (USA),sir_3591329,My Dream Castles (USA),dam_3715166,Woodman,dsi_2126229,Held up - pushed along over 2f out - ridden well over 1f out - no impression when not clear run and switched right well inside final furlong(op 11-4),https://www.rp-assets.com/svg/b/0/4/129640b.svg
rac_6455241,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:40,2010-01-14T17:40:00+00:00,Bet Masters Snooker - Betdaq Conditions Stakes,Flat,Class 2,,,4yo+,,1m½f,1901,1738.0,8.5f,Standard,AW,,1m 50.55s (slow by 4.55s),,,£4.70,£2.10 £1.90,£19.60,£23.92,,,hrs_5046832,Alsahil (USA),33/1,34.0,2.0,5,3.0,0.05,5,4,C,9-2,128,,1:51.39,80,91,50,396.10,Paul Hanagan,0,jky_230871,Micky Hammond,trn_45180,R D Bickenson,own_148660,Diesis (GB),sir_2104375,Tayibah (IRE),dam_3780273,Sadler's Wells,dsi_3247825,Soon led - ridden and headed just over 1f out - weakened well inside final furlong(op 28-1),https://www.rp-assets.com/svg/5/6/1/37165.svg
rac_6455241,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:40,2010-01-14T17:40:00+00:00,Bet Masters Snooker - Betdaq Conditions Stakes,Flat,Class 2,,,4yo+,,1m½f,1901,1738.0,8.5f,Standard,AW,,1m 50.55s (slow by 4.55s),,,£4.70,£2.10 £1.90,£19.60,£23.92,,,hrs_4786684,Noble Citizen (USA),8/1,9.0,4.0,6,2.0,0.1,5.25,5,H,9-0,126,eb,1:51.44,98,88,47,198.90,Martin Lane,0,jky_250524,David Simcock,trn_145287,Khalifa Dasmal,own_43712,Proud Citizen (USA),sir_3862180,Serene Nobility (USA),dam_3367749,His Majesty,dsi_2107742,Led early - prominent - chased leader over 5f out until just over 2f out - weakened over 1f out(op 10-1),https://www.rp-assets.com/svg/8/2/9/10928.svg
rac_6455228,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:10,2010-01-14T17:10:00+00:00,Sponsor A Race By Calling 01902 390000 Handicap,Flat,Class 5,,0-75,4yo+,,1m1½f,2083,1905.0,9.5f,Standard,AW,,2m 0.94s (slow by 4.24s),,"Monreale (self certificate), West End Lad (self certificate)",£2.60,£1.50 £4.70 £2.10,£69.80,£79.35,£448.74,,hrs_4981536,Chosen Forever (GB),2/1F,3.0,12.0,1,4.0,0,0,5,G,8-10,122,,2:0.94,65,76,70,2729.60,Jimmy Quinn,0,jky_7488,Geoff Oldroyd,trn_4752,R C Bond,own_387656,Choisir (AUS),sir_3920336,Forever Bond (GB),dam_4101440,Danetime,dsi_3136224,Always prominent - led well over 1f out - driven out(op 9-4 tchd 11-4),https://www.rp-assets.com/svg/4/1/9/96914.svg
rac_6455228,2010-01-14,GB,Wolverhampton (AW),crs_13338,5:10,2010-01-14T17:10:00+00:00,Sponsor A Race By Calling 01902 390000 Handicap,Flat,Class 5,,0-75,4yo+,,1m1½f,2083,1905.0,9.5f,Standard,AW,,2m 0.94s (slow by 4.24s),,"Monreale (self certificate), West End Lad (self certificate)",£2.60,£1.50 £4.70 £2.10,£69.80,£79.35,£448.74,,hrs_2830835,Boo (GB),33/1,34.0,8.0,2,7.0,1.25,1.25,8,G,9-0,126,v,2:1.15,69,74,71,806,Eddie Ahern,0,jky_38340,James Unett,trn_134487,M E Hughes,own_201936,Namaqualand (USA),sir_553322,Violet (IRE),dam_3382414,Mukaddamah,dsi_425817,Held up in mid-division - came wide straight - ridden and headway over 1f out - ran on to take 2nd inside final furlong - not trouble winner(op 28-1),https://www.rp-assets.com/svg/4/8/4/50484.svg
rac_6452940,2010-01-05,GB,Southwell (AW),crs_10244,3:40,2010-01-05T15:40:00+00:00,Southwell Golf Club Handicap,Flat,Class 6,,0-60,3yo,,6f,1336,1222.0,6f,Standard To Slow,AW,,1m 18.11s (slow by 4.91s),,Whitby (vet's certificate),£2.40,£1.60 £1.30,£3.90,£3.37,£12.61,£28.10,hrs_5154730,Charlottesometimes I (USA),20/1,21.0,5.0,6,3.0,0.3,7.5,3,F,8-7,119,,1:19.61,52,36,26,,Martin Lane,3,jky_250524,David Simcock,trn_145287,Mrs Ann Simcock,own_662272,Dehere (USA),sir_620886,Alexander Charlote (IRE),dam_4058481,Titus Livius,dsi_742126,Chased leaders - ridden along halfway - soon weakened,https://www.rp-assets.com/svg/8/6/5/165568.svg
rac_6452940,2010-01-05,GB,Southwell (AW),crs_10244,3:40,2010-01-05T15:40:00+00:00,Southwell Golf Club Handicap,Flat,Class 6,,0-60,3yo,,6f,1336,1222.0,6f,Standard To Slow,AW,,1m 18.11s (slow by 4.91s),,Whitby (vet's certificate),£2.40,£1.60 £1.30,£3.90,£3.37,£12.61,£28.10,hrs_5222735,Lets Move It (GB),33/1,34.0,6.0,7,1.0,1.75,9.25,3,G,8-8,120,v,1:19.96,50,29,18,,Hayley Turner,0,jky_236760,Derek Shaw,trn_52533,Mrs Lyndsey Shaw,own_667812,Piccolo (GB),sir_591094,Park Star (GB),dam_3929030,Gothenberg,dsi_723352,Led 1f - close up until ridden along halfway and soon weakened,https://www.rp-assets.com/svg/3/5/9/166953.svg
rac_6452927,2010-01-05,GB,Southwell (AW),crs_10244,3:10,2010-01-05T15:10:00+00:00,Hospitality At Southwell Racecourse Handicap,Flat,Class 6,,0-65,4yo+,,1m4f,2654,2427.0,12f,Standard To Slow,AW,,2m 42.67s (slow by 8.67s),,"Criterion (self certificate), La Columbina (travel problems)",£9.40,£2.90 £2.10 £3.70,£57.90,£49.33,£501.04,£463.60,hrs_4731181,Dream In Blue (GB),13/2,7.5,2.0,1,7.0,0,0,5,G,9-7,133,p,2:42.67,65,73,53,1774.24,Dane O'Neill,0,jky_39951,Jeremy Glover,trn_5085,Paul J Dixon Brian Morton,own_653644,Oasis Dream (GB),sir_3960579,Blue Birds Fly (GB),dam_494396,Rainbow Quest,dsi_2124080,In touch - pushed along over 3f out - ridden over 2f out - driven well over 1f out - stayed on under pressure inside final furlong to lead near finish(op 8-1 tchd 6-1),https://www.rp-assets.com/svg/1/1/4/163411.svg
rac_6452927,2010-01-05,GB,Southwell (AW),crs_10244,3:10,2010-01-05T15:10:00+00:00,Hospitality At Southwell Racecourse Handicap,Flat,Class 6,,0-65,4yo+,,1m4f,2654,2427.0,12f,Standard To Slow,AW,,2m 42.67s (slow by 8.67s),,"Criterion (self certificate), La Columbina (travel problems)",£9.40,£2.90 £2.10 £3.70,£57.90,£49.33,£501.04,£463.60,hrs_5034736,Silken Promise (USA),13/2,7.5,8.0,2,2.0,0.2,0.2,4,F,8-9,121,p,2:42.71,57,64,45,523.90,Robert Winston,0,jky_43566,Walter Swinburn,trn_149391,The Pulpit Congregation,own_679912,Pulpit (USA),sir_3219048,Banksia (GB),dam_4092522,Marju,dsi_425999,Made most - ridden clear 3f out - driven over 1f out - headed and no extra near finish(op 5-1),https://www.rp-assets.com/svg/8/7/9/169978.svg
rac_6452927,2010-01-05,GB,Southwell (AW),crs_10244,3:10,2010-01-05T15:10:00+00:00,Hospitality At Southwell Racecourse Handicap,Flat,Class 6,,0-65,4yo+,,1m4f,2654,2427.0,12f,Standard To Slow,AW,,2m 42.67s (slow by 8.67s),,"Criterion (self certificate), La Columbina (travel problems)",£9.40,£2.90 £2.10 £3.70,£57.90,£49.33,£501.04,£463.60,hrs_4961985,Charging Indian (IRE),12/1,13.0,7.0,3,11.0,.75,1,4,G,9-3,129,b,2:42.87,65,71,52,262.08,Tony Culhane,0,jky_2526,Paul Midgley,trn_143532,David Mann,own_218028,Chevalier (IRE),sir_3955546,Kathy Tolfa (IRE),dam_4886889,Sri Pekan,dsi_651812,Held up in rear - took closer order 4f out - good headway on inner 3f out - chased clear leader over 2f out and soon ridden - driven and every chance inside final furlong - no extra last 100yds(op 10-1),https://www.rp-assets.com/svg/b/7/0/54507b.svg
